id,code,name
1,ACCT 270,FoundationsAccountng&Valuation
2,AFAM 146,Urban and Education Inequality
2,ECON 171,Urban and Education Inequality
2,EDST 271,Urban and Education Inequality
3,AFAM 162,AfricanAmerHist:Emanciptn-Pres
3,AMST 162,AfricanAmerHist:Emanciptn-Pres
3,HIST 187,AfricanAmerHist:Emanciptn-Pres
4,AFAM 164,"Politics of ""The Wire"""
4,PLSC 263,"Politics of ""The Wire"""
4,URBN 304,"Politics of ""The Wire"""
5,AFAM 172,CivilWar&Reconstruction1845-77
5,HIST 119,CivilWar&Reconstruction1845-77
6,AFAM 182,James Baldwin's American Scene
6,ENGL 182,James Baldwin's American Scene
6,HUMS 456,James Baldwin's American Scene
7,AFAM 184,African Arts
7,AFST 208,African Arts
7,HSAR 208,African Arts
8,AFAM 186,Contesting Injustice
8,LAST 214,Contesting Injustice
8,PLSC 378,Contesting Injustice
8,SOCY 170,Contesting Injustice
9,AFAM 198,PropagandaIdeologyDemocracy
9,CGSC 277,PropagandaIdeologyDemocracy
9,EDST 177,PropagandaIdeologyDemocracy
9,EP&E 494,PropagandaIdeologyDemocracy
9,LAW 21177,PropagandaIdeologyDemocracy
9,PHIL 177,PropagandaIdeologyDemocracy
10,AFAM 206,Literature of the Black South
10,ENGL 234,Literature of the Black South
11,AFAM 212,Af Am Lit in the Archives
11,ENGL 221,Af Am Lit in the Archives
12,AFAM 220,ArchiveAesthetics&CommStory
12,FILM 434,ArchiveAesthetics&CommStory
13,AFAM 231,Sex&Gender inThe BlackDiaspora
13,ANTH 211,Sex&Gender inThe BlackDiaspora
13,WGSS 436,Sex&Gender inThe BlackDiaspora
14,AFAM 275,Afterlives of Slavery in U.S.
14,AMST 337,Afterlives of Slavery in U.S.
15,AFAM 287,Postcolonial Theory & Lit TR
15,AFST 412,Postcolonial Theory & Lit TR
15,FREN 412,Postcolonial Theory & Lit TR
15,LITR 250,Postcolonial Theory & Lit TR
16,AFAM 331,Black Film and Theatre
16,FILM 329,Black Film and Theatre
17,AFAM 335,BlackExperimental&IndepentFilm
17,FILM 335,BlackExperimental&IndepentFilm
18,AFAM 348,James Baldwin After 1964
18,AMST 388,James Baldwin After 1964
18,ER&M 339,James Baldwin After 1964
18,WGSS 332,James Baldwin After 1964
19,AFAM 349,CivilRights &Women'sLiberation
19,AMST 326,CivilRights &Women'sLiberation
19,HIST 115J,CivilRights &Women'sLiberation
19,WGSS 388,CivilRights &Women'sLiberation
20,AFAM 352,Caribbean Diasporic Literature
20,AMST 438,Caribbean Diasporic Literature
20,ER&M 291,Caribbean Diasporic Literature
20,LITR 295,Caribbean Diasporic Literature
20,WGSS 343,Caribbean Diasporic Literature
21,AFAM 353,Black British Art & Culture
21,HSAR 472,Black British Art & Culture
22,AFAM 361,Black Queer Perf. Studies
22,THST 360,Black Queer Perf. Studies
22,WGSS 341,Black Queer Perf. Studies
23,AFAM 385,"Plantation,Prison,Ghetto inUS"
23,AMST 303,"Plantation,Prison,Ghetto inUS"
23,ER&M 375,"Plantation,Prison,Ghetto inUS"
24,AFAM 401,Intro to Documentary Studies
24,AMST 411,Intro to Documentary Studies
24,ER&M 385,Intro to Documentary Studies
24,FILM 453,Intro to Documentary Studies
25,AFAM 406,Autobiography in America
25,AFAM 588,Autobiography in America
25,AMST 405,Autobiography in America
25,AMST 710,Autobiography in America
25,ENGL 362,Autobiography in America
25,ENGL 948,Autobiography in America
26,AFAM 410,InterdiscApproachesAfrAmerStud
26,AMST 310,InterdiscApproachesAfrAmerStud
26,WGSS 410,InterdiscApproachesAfrAmerStud
27,AFAM 451,Black Women Moving
27,ANTH 445,Black Women Moving
27,THST 450,Black Women Moving
27,WGSS 442,Black Women Moving
28,AFAM 472,IndepStudy:AfricanAmerStudies
29,AFAM 491,The Senior Essay
30,AFAM 508,Blackness in Abstraction
30,HSAR 524,Blackness in Abstraction
31,AFAM 626,AfricanAmerican Religious Hist
31,HIST 721,AfricanAmerican Religious Hist
31,RLST 485,AfricanAmerican Religious Hist
31,RLST 626,AfricanAmerican Religious Hist
32,AFAM 670,Research in AFAM History
32,AMST 675,Research in AFAM History
32,HIST 718,Research in AFAM History
33,AFAM 718,WorkingGroupLatina/o StudiesII
33,AMST 911,WorkingGroupLatina/o StudiesII
33,HIST 765,WorkingGroupLatina/o StudiesII
34,AFAM 725,Relational Formations of Race
34,AMST 726,Relational Formations of Race
34,HIST 714,Relational Formations of Race
34,WGSS 654,Relational Formations of Race
35,AFAM 752,Medicine and Empire
35,HIST 937,Medicine and Empire
35,HSHM 761,Medicine and Empire
36,AFAM 757,Research Sem 19thCent US Hist
36,AMST 722,Research Sem 19thCent US Hist
36,HIST 722,Research Sem 19thCent US Hist
37,AFAM 770,ToniMorrison&BlackRadTradit
37,AMST 782,ToniMorrison&BlackRadTradit
37,ENGL 940,ToniMorrison&BlackRadTradit
38,AFAM 775,Affect Theory
38,AMST 771,Affect Theory
38,ENGL 981,Affect Theory
39,AFAM 796,Slave Systems in World History
39,AMST 796,Slave Systems in World History
39,HIST 796,Slave Systems in World History
40,AFAM 803,Musical Afrofuturisms
40,AFST 828,Musical Afrofuturisms
40,AMST 831,Musical Afrofuturisms
40,MUSI 833,Musical Afrofuturisms
41,AFAM 832,Workshop on Race & Ethnicity
42,AFAM 849,Mid-CenturyAfricanAmericanLit
42,AMST 844,Mid-CenturyAfricanAmericanLit
42,ENGL 946,Mid-CenturyAfricanAmericanLit
43,AFAM 880,Directed Reading
44,AFAM 896,DissertationProspectusWorkshop
45,AFST 001,Egypt and Northeast Africa
45,ARCG 001,Egypt and Northeast Africa
45,NELC 001,Egypt and Northeast Africa
46,AFST 028,African Lit in the World
46,ENGL 028,African Lit in the World
46,LITR 025,African Lit in the World
47,AFST 135,Media and Conflict
47,PLSC 135,Media and Conflict
48,AFST 180,Nigeria and Its Diaspora
48,AFST 680,Nigeria and Its Diaspora
48,ER&M 313,Nigeria and Its Diaspora
49,AFST 200,Social Dimensions of Evolution
49,ANTH 200,Social Dimensions of Evolution
49,ER&M 216,Social Dimensions of Evolution
51,AFST 235,"Race, Space, Power"
51,ER&M 239,"Race, Space, Power"
51,GLBL 235,"Race, Space, Power"
52,AFST 271,Worlds of the Ancient Red Sea
52,AFST 619,Worlds of the Ancient Red Sea
52,ARCG 217,Worlds of the Ancient Red Sea
52,NELC 271,Worlds of the Ancient Red Sea
52,NELC 617,Worlds of the Ancient Red Sea
53,AFST 273,Ancient African Empires
53,ARCG 219,Ancient African Empires
53,ARCG 618,Ancient African Empires
53,NELC 272,Ancient African Empires
53,NELC 618,Ancient African Empires
54,AFST 305,SocialEnterpriselnDvlpngEcon
54,GLBL 305,SocialEnterpriselnDvlpngEcon
55,AFST 335,History of South Africa
55,ER&M 325,History of South Africa
55,HIST 335,History of South Africa
56,AFST 340,Africa in Era of Slave Trade
56,HIST 340,Africa in Era of Slave Trade
57,AFST 369,Lit of Migration & Refuge
57,FREN 369,Lit of Migration & Refuge
57,MMES 369,Lit of Migration & Refuge
58,AFST 378,USForeignAsstnceSub-Saharan
58,AFST 570,USForeignAsstnceSub-Saharan
58,EVST 378,USForeignAsstnceSub-Saharan
58,S&DS 138,USForeignAsstnceSub-Saharan
59,AFST 381,Government& Politics in Africa
59,PLSC 381,Government& Politics in Africa
60,AFST 382,Child Health and Dev in Africa
61,AFST 406,Sexual Violence and War
61,GLBL 363,Sexual Violence and War
61,PLSC 406,Sexual Violence and War
61,PLSC 720,Sexual Violence and War
63,AFST 453,HealthDisparities&HealthEquity
65,AFST 833,Agrarian History of Africa
65,HIST 833,Agrarian History of Africa
66,AFST 900,Master’s Thesis
67,AFST 965,On Violence
67,CPLT 729,On Violence
67,FREN 965,On Violence
68,AKKD 120,Elementary Akkadian II
68,AKKD 501,Elementary Akkadian II
69,AMST 012,Politcs&Society inUS afterWWII
69,HIST 012,Politcs&Society inUS afterWWII
70,AMST 028,Book Collecting in America
70,HIST 019,Book Collecting in America
72,AMST 197,AmericanArchitecture&Urbanism
72,ARCH 280,AmericanArchitecture&Urbanism
72,HSAR 219,AmericanArchitecture&Urbanism
72,URBN 280,AmericanArchitecture&Urbanism
73,AMST 206,Intro Critical Refugee Studies
73,ER&M 221,Intro Critical Refugee Studies
73,WGSS 222,Intro Critical Refugee Studies
74,AMST 228,Origins of U.S. Global Power
74,GLBL 201,Origins of U.S. Global Power
74,HIST 128,Origins of U.S. Global Power
75,AMST 255,California Capitalism
75,HIST 155,California Capitalism
79,AMST 330,Dystopic & Utopian Fictions
79,ENGL 236,Dystopic & Utopian Fictions
80,AMST 334,Antisemitism in America
80,HUMS 267,Antisemitism in America
81,AMST 336,American Fascism
81,ER&M 369,American Fascism
83,AMST 340,The History of Miami
84,AMST 344,The Nonhuman in Lit since 1800
84,AMST 723,The Nonhuman in Lit since 1800
84,ENGL 333,The Nonhuman in Lit since 1800
84,ENGL 833,The Nonhuman in Lit since 1800
85,AMST 346,Poetry and Objects
85,ENGL 235,Poetry and Objects
85,HUMS 252,Poetry and Objects
86,AMST 350,Political Landscapes Tourism
86,ER&M 356,Political Landscapes Tourism
86,WGSS 235,Political Landscapes Tourism
87,AMST 357,The Times of Bob Dylan
88,AMST 362,Afro-Asian Formations of Race
88,ER&M 350,Afro-Asian Formations of Race
89,AMST 370,The History of Dance
89,THST 380,The History of Dance
92,AMST 406,The Spectacle of Disability
