question_code,is_narrative,question_text,options,tag,original tags,mismatch
AC550,TRUE,"Were the resources available to you - library, fabrication labs, classroom, software, desk space, etc. - adequate for the fulfillment of the assigned work?  If not, please make suggestions.",[],available_resources,#N/A,
FS0034,FALSE,"Apart from how well the course was taught, how valuable is the course to students with interests similar to yours?","['1 (Very valuable)', '2', '3 (Average)', '4', '5 (Not valuable)']",,#N/A,
DR226,TRUE,"Are there adjustments, additions or deletions that might be beneficial?",[],,#N/A,
AC605,FALSE,Availability,"['1 (Low)', '2', '3', '4', '5 (High)']",,#N/A,
AC607,FALSE,Clarity of Presentation,"['1 (Low)', '2', '3', '4', '5 (High)']",,#N/A,
DR409,FALSE,Clarity Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
AC040,TRUE,"Comment on the body of material presented and the content of the course: sequence, syllabus, and assignments.",[],,#N/A,
AC230,TRUE,"Comment on the coordination of this studio with landscape, planning, structures, or other related disciplines.",[],,#N/A,
AC130,TRUE,Comment on the crossover of themes / issues / material between your studio and your other classes.,[],,#N/A,
AC070,TRUE,Comment on the effectiveness of the teaching by the courses's instructor,[],,#N/A,
AC560,TRUE,Comment on the most and least valuable aspects of the studio,[],,#N/A,
AC240,TRUE,Comment on the most and least valuable aspects of the studio,[],,#N/A,
AC460,TRUE,Comment on the most and least valuable aspects of the studio,[],,#N/A,
AC140,TRUE,Comment on the most and least valuable aspects of the studio,[],,#N/A,
AC060,TRUE,Comment on the value of this course to you.,[],,#N/A,
LW108,TRUE,"Comments.
If you wrote a paper with any of these professors, if the course was taught by more than one professor, or you would like to comment on any aspects previously mentioned",[],,#N/A,
LW209,TRUE,"Comments.If you wrote a paper with any of these professors, if the course was taught by more than one professor, or you would like to comment on any aspects previously mentioned",[],,#N/A,
LW002,FALSE,"Compared to other YLS classes, how much out-of-class preparation, reading, and writing does Behavioral & Inst Economics require?","['1 (Least)', '2', '3', '4', '5 (Most)']",,#N/A,
LW006,FALSE,"Compared to other YLS classes, how valuable was in-class time in Behavioral & Inst Economics?","['1 (Least)', '2', '3', '4', '5 (Most)']",,#N/A,
DR410,FALSE,Depth Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
FS0020,TRUE,Did it live up to your expectations?,[],,#N/A,
DR327,TRUE,Did you attend all the discussions?,[],,#N/A,
DR328,TRUE,Did you find the discussion leader effective and prepared?,[],,#N/A,
FS0021,TRUE,Did you get out of it what you expected?,[],,#N/A,
FS0022,FALSE,Did you participate in a work group as part of this course?,"['Yes', 'No']",,#N/A,
GS006,FALSE,Difficulty,"['easy', 'appropriate', 'hard']",,#N/A,
FS0018,TRUE,Discuss if you wish how this course fits into your overall program.,[],,#N/A,
AC250,TRUE,Discuss the main strengths and weaknesses of the studio as a pedagogical tool,[],,#N/A,
AC150,TRUE,Discuss the main strengths and weaknesses of the studio as a pedagogical tool,[],,#N/A,
AC170,TRUE,Discuss the main strengths and weaknesses of your Section Critic.,[],,#N/A,
AC270,TRUE,"Discuss the main strengths and weaknesses of your Studio Head and if there was one, the Assistant Teacher.",[],,#N/A,
FS0052,TRUE,"Discuss, if you wish, how this course fits into your overall program.  (Please feel free to describe how the course relates to your academic background.)",[],,#N/A,
AC350,TRUE,"Were the resources available to you - library, fabrication labs, classroom, software, desk space, etc. adequate for the fulfillment of the assigned work?  If not, please make suggestions.",[],available_resources,#N/A,
AC450,TRUE,"Were the resources available to you-library, fabrication labs, classroom, software, desk space, etc. adequate for the fulfillment of the work assigned?  If not, please make suggestions.",[],available_resources,#N/A,
DR227,TRUE,Do you have any comments about the teaching/learning environment?,[],,#N/A,
DR404,FALSE,Ease of access to materials Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
FS0038,FALSE,Field trips were ________________ in number.,"['1 (too few)', '2', '3 (just right)', '4', '5 (too many)', 'N/A']",,#N/A,
FS0039,FALSE,Field trips were well designed and ran smoothly.,"['1 (Agree)', '2', '3 (Neutral)', '4', '5 (Disagree)', 'N/A']",,#N/A,
FS0024,TRUE,"For students taking this course, what advice would you give them?",[],,#N/A,
FS0047,TRUE,"For students who might consider taking this course, what advice would you give them?",[],,#N/A,
