course_id,season_code,section,title,description,requirements,locations_summary,times_summary,times_by_day,skills,areas,credits,syllabus_url,course_home_url,regnotes,extra_info,rp_attr,classnotes,final_exam,fysem,sysem,colsem,average_gut_rating,average_professor_rating,average_rating,average_rating_n,average_workload,average_workload_n,average_rating_same_professors,average_rating_same_professors_n,average_workload_same_professors,average_workload_same_professors_n,last_offered_course_id,same_course_id,same_course_and_profs_id,last_enrollment_course_id,last_enrollment,last_enrollment_season_code,last_enrollment_same_professors
0,202401,1,African American Freedom Movements in the Twentieth Century,"Introduction to the study and writing of history, focusing on how African Americans fought for civil rights throughout the twentieth century. The civil rights movement placed in its historical context; African American freedom struggles placed in the larger narrative of U.S. history.",Enrollment limited to freshmen. Preregistration required; see under Freshman Seminar Program.,TBA,TBA,{},[],"[""Hu""]",1.0,,,,CANCELLED,,,HTBA,True,False,False,,,,0,,0,,0,,0,,0,0,,,,
10201,202401,1,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,HQ L02 - Humanities Quadrangle L02,TTh 11:35am-12:50pm,"{""Tuesday"":[[""11:35"",""12:50"",""HQ L02 - Humanities Quadrangle L02"",""https:\/\/map.yale.edu\/?id=1910#!m\/563690""]],""Thursday"":[[""11:35"",""12:50"",""HQ L02 - Humanities Quadrangle L02"",""https:\/\/map.yale.edu\/?id=1910#!m\/563690""]]}",[],"[""Hu""]",1.0,https://yale.instructure.com/courses/95145/assignments/syllabus,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,2.428571428571429,4.337662337662338,4.337662337662338,1,1.9090909090909092,1,4.337662337662338,1,1.9090909090909092,1,,1,1,,,,
2,202401,A,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,HQ C03 - Humanities Quadrangle C03,Th 1:30pm-2:20pm,"{""Thursday"":[[""13:30"",""14:20"",""HQ C03 - Humanities Quadrangle C03"",""https:\/\/map.yale.edu\/?id=1910#!m\/563690""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2941,3375,,,,
3,202401,C,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,WALL81 101 - 81 Wall Street 101,Th 10:30am-11:20am,"{""Thursday"":[[""10:30"",""11:20"",""WALL81 101 - 81 Wall Street 101"",""https:\/\/map.yale.edu\/?id=1910#!m\/559926""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2942,3376,,,,
4,202401,D,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,WALL81 301 - 81 Wall Street 301,F 1:30pm-2:20pm,"{""Friday"":[[""13:30"",""14:20"",""WALL81 301 - 81 Wall Street 301"",""https:\/\/map.yale.edu\/?id=1910#!m\/559926""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2943,3377,,,,
5,202401,E,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,HQ C03 - Humanities Quadrangle C03,W 1:30pm-2:20pm,"{""Wednesday"":[[""13:30"",""14:20"",""HQ C03 - Humanities Quadrangle C03"",""https:\/\/map.yale.edu\/?id=1910#!m\/563690""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2944,3378,,,,
6,202401,F,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,HQ C03 - Humanities Quadrangle C03,W 2:30pm-3:20pm,"{""Wednesday"":[[""14:30"",""15:20"",""HQ C03 - Humanities Quadrangle C03"",""https:\/\/map.yale.edu\/?id=1910#!m\/563690""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2945,3379,,,,
7,202401,G,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,WLH 009 - William L. Harkness Hall 009,T 9:25am-10:15am,"{""Tuesday"":[[""9:25"",""10:15"",""WLH 009 - William L. Harkness Hall 009"",""https:\/\/map.yale.edu\/?id=1910#!m\/560127""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2946,3380,,,,
8,202401,H,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,BASSLB L70 - Bass Library L70,T 5pm-5:50pm,"{""Tuesday"":[[""17:00"",""17:50"",""BASSLB L70 - Bass Library L70"",""https:\/\/map.yale.edu\/?id=1910#!m\/564574""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2947,3381,,,,
9,202401,I,“We Interrupt this Program:  The Multidimensional Histories of Queer and Trans Politics”,"In 1991, the arts organizations Visual AIDS and The Kitchen collaborated with video artist and filmmaker Charles Atlas to produce the live television broadcast ""We Interrupt this Program."" Part educational presentation, part performance piece, the show was aired in millions of homes across the nation. The program, in The Kitchen’s words, ""sought to feature voices that had often been marginalized within many discussions of AIDS, in particular people of color and women.""This course builds upon and is inspired by this aspect of Atlas's visionary presentation, an aspect that used the show to produce a critically multicultural platform that could activate cultural histories and critical traditions from various communities. In effect, the course uses this aspect as a metonym for the racial, gender, sexual, and class heterogeneity of queer art and organizing. It conducts its investigation by looking at a variety of primary materials that illustrate the heterogeneous makeup of queer and trans politics. The course also draws on more recent texts and visual works that arose from the earlier contexts that the primary texts helped to illuminate and shape.",,WALL81 101 - 81 Wall Street 101,M 3:30pm-4:20pm,"{""Monday"":[[""15:30"",""16:20"",""WALL81 101 - 81 Wall Street 101"",""https:\/\/map.yale.edu\/?id=1910#!m\/559926""]]}",[],"[""Hu""]",0.0,,,,ACTIVE,This course meets during the Reading Period: the week between the last week of classes and finals week. Meets Reading Period,,No regular final examination,False,False,False,,,,0,,0,,0,,0,,2948,3382,,,,
