question_code,tag
AC550,available_resources
FS0034,
DR226,
AC605,
AC607,
DR409,
AC040,
AC230,
AC130,
AC070,
AC560,
AC240,
AC460,
AC140,
AC060,
LW108,
LW209,
LW002,
LW006,
DR410,
FS0020,
DR327,
DR328,
FS0021,
FS0022,
GS006,
FS0018,
AC250,
AC150,
AC170,
AC270,
FS0052,
AC350,available_resources
AC450,available_resources
DR227,
DR404,
FS0038,
FS0039,
FS0024,
FS0047,
FS1008,
DR379,
DR380,
DR375,
DR376,
FS0041,
DR332,
DR128,
DR129,
DR333,
GS009,knowledge
DR330,
DR126,
DR176,
DR344,
DR140,
FS0029,
DR382,
DR381,
DR378,
DR331,
DR127,
FS1003,
DI027,
DR329,
DR125,
DR377,
DR415,
DR414,
DR383,
DR325,
LW105,
LW103,
AC1550,available_resources
AC1450,available_resources
YC407,challenge
GS407,challenge
YC402,engagement
GS402,engagement
FS0040,
FS1001,engagement
YC406,feedback
FS1006,
FS0007,
FS0009,
DR178,
DR343,
DR139,
AC030,
DR385,
FS0023,
AC430,
LW107,
DR403,
AC608,
DR405,
GS406,feedback
FS0050,
LW104,
LW101,
MG007,professor
FS0049,knowledge
FS0037,
GS005,
DR408,
DR426,
DR427,
DR429,
DR179,
DR428,
FS0036,
DR384,
DR346,
DR142,
DR228,
DR044,
DR041,
DR430,
DR425,
GS007,
DR407,
DR411,
DR355,
DR356,
DR357,
DR358,
DR359,
DR360,
DR361,
DR362,
DR363,
DR364,
DR400,
DR303,
DR304,
DR305,
DR306,
DR307,
DR308,
DR309,
DR310,
DR311,
DR312,
DR313,
DR314,
DR315,
DR316,
DR300,
DR301,
DR302,
DR100,
DR101,
DR102,
DR103,
DR104,
DR105,
DR106,
DR107,
DR108,
DR109,
DR110,
DR111,
DR112,
DR113,
DR155,
DR335,
DR131,
GS401,knowledge
YC401,knowledge
FS1002,knowledge
YC007,major
DR412,
AC180,
AC080,
DR402,
FS0015,
DR334,
DR130,
DR336,
DR132,
YC307,major
AC606,organization
YC405,organization
DR413,
DR416,
DR341,
DR137,
DR337,
DR133,
DR338,
DR134,
DR342,
DR138,
DR340,
DR136,
DR339,
DR135,
FS0051,
FS0035,
FS0016,
GS405,organization
FS0014,
FS0042,
DR326,
FS0045,
DR406,
FS1005,organization
MG008,rating
YC006,rating
GS008,rating
YC404,rating
DR230,
FS1010,
YC306,rating
GS404,rating
FS0044,
DR043,
FS0025,
FS1009,rating
GS409,recommend
YC409,recommend
FS1004,strengthsWeaknesses
GS403,strengthsWeaknesses
YC403,strengthsWeaknesses
GS003,summary
YC004,summary
YC304,summary
DR175,
DR177,summary
FS1007,workload
DR345,
DR115,
FS0017,
DI030,
DR042,
DR225,
DI031,
FS0043,
FS0046,
DI028,
AC050,
AC540,
AC260,
AC440,
AC160,
FS0019,
YC005,workload
YC305,workload
YC408,workload
GS408,workload
FS0048,workload
LW008,
GS004,
SU100,
SU101,engagement
SU103,
SU104,rating
SU105,organization
SU106,feedback
SU107,challenge
SU108,workload
SU109,
SU124,
YC601,
YC601N,
YC602,
YC601NYCWR,
PH001,workload
PH002,rating
PH003,professor
PH004,sensitivity
PH005,hoursPerWeek
PH006,overall
PH007,overallProfessor
PH008,teachingAssistant
PH009,summary
PH010,feedback
PH011,
PH012,
PH101,
PH108,
